Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 0.01, r= 6.0, n= 20, t= 1000;0,0858635275;27,0223724818;313,5910167023;13,5334023307 
p= 0.01, r= 6.0, n= 20, t= 10000;0,0530223834;28,0216701099;415,0650680232;10,5790583702 
p= 0.01, r= 6.0, n= 100, t= 50;0,9595794043;52,6879324169;631,4520228578;38,6743480806 
p= 0.01, r= 6.0, n= 100, t= 100;0,5951866042;53,4734953777;4.139,6375396071;51,6125811116 
p= 0.01, r= 6.0, n= 100, t= 1000;1,2578953268;46,0597332917;695,2167086312;43,7508623846 
p= 0.01, r= 6.0, n= 100, t= 10000;0,7755451312;55,8719537644;671,3614207720;54,2324568390 
p= 0.01, r= 6.0, n= 1000, t= 50;174.982,1117110107;74,1269275804;77.798.356.726,7114300000;175.815,5882907074 
p= 0.01, r= 6.0, n= 1000, t= 100;199.183,2001488286;72,5970408917;64.195.786.438,5876400000;177.988,0205930926 
p= 0.01, r= 6.0, n= 1000, t= 1000;170.405,4136743527;73,9181864824;70.911.832.805,8709000000;175.979,5275097287 
p= 0.01, r= 6.0, n= 1000, t= 10000;149.357,8839204320;77,0017843824;33.816.065.731,2133260000;109.243,9896277102 
p= 0.1, r= 1.0, n= 5, t= 50;27,6177389484;2,1952314687;5.562,4544227316;960,3489150576 
p= 0.1, r= 1.0, n= 5, t= 100;29,1256404157;2,0661012632;5.886,7946470816;900,4099775707 
p= 0.1, r= 1.0, n= 5, t= 1000;29,7971269143;2,1844387984;7.313,9150358294;943,5481347767 
p= 0.1, r= 1.0, n= 5, t= 10000;27,9487305080;2,3222167934;6.972,6883303613;948,6365400751 
p= 0.1, r= 1.0, n= 20, t= 50;13,0837672896;15,6479438252;2.394,4566813104;692,8440290953 
p= 0.1, r= 1.0, n= 20, t= 100;10,9504642614;25,7722797748;1.774,8668891764;694,4811494279 
p= 0.1, r= 1.0, n= 20, t= 1000;13,7677835288;21,1240552099;1.979,6484754493;666,9962763906 
p= 0.1, r= 1.0, n= 20, t= 10000;12,4574857035;14,1370819325;2.841,2116164455;640,4663826731 
p= 0.1, r= 1.0, n= 100, t= 50;11.289,9332690313;59,3415484927;451.062.552,4566971700;17.924,6145784186 
p= 0.1, r= 1.0, n= 100, t= 100;24.807,9596292549;59,8281910956;663.394.078,1546751000;25.303,9166087982 
p= 0.1, r= 1.0, n= 100, t= 1000;9.710,5774218038;58,8088570960;331.796.295,5309692600;17.434,9130467525 
p= 0.1, r= 1.0, n= 100, t= 10000;7.114,7825153171;58,7655164194;92.086.034,3042052700;15.214,2481088110 
p= 0.1, r= 1.0, n= 1000, t= 50;233.135,9421482086;85,6898168246;135.849.368.941,8942400000;255.331,3392293096 
p= 0.1, r= 1.0, n= 1000, t= 100;234.817,0151233975;85,6025968253;131.869.163.235,8198500000;274.876,3847394983 
p= 0.1, r= 1.0, n= 1000, t= 1000;258.082,3678051969;84,4419129084;102.143.732.230,3905600000;292.916,2965001915 
p= 0.1, r= 1.0, n= 1000, t= 10000;277.052,3976653692;83,1107297498;109.543.725.589,2934100000;258.929,7949839826 
p= 0.1, r= 2.0, n= 5, t= 50;114,5603952648;4,2454160432;53.202,4797132050;983,2434870154 
p= 0.1, r= 2.0, n= 5, t= 100;110,4129247588;4,1684959318;53.687,6026282709;986,8313184168 
p= 0.1, r= 2.0, n= 5, t= 1000;97,3159275493;4,1172037575;53.509,5212958490;1.027,8657480585 
p= 0.1, r= 2.0, n= 5, t= 10000;111,2746514080;3,9436773445;50.739,4404485703;1.001,2405208639 
p= 0.1, r= 2.0, n= 20, t= 50;50,3779759334;1,9942333455;17.975,8191606469;706,1052863039 
p= 0.1, r= 2.0, n= 20, t= 100;47,6595811028;2,0184304532;13.692,6658602667;755,0333114118 
p= 0.1, r= 2.0, n= 20, t= 1000;49,9284339493;2,1393567822;12.398,9298793367;747,0267506530 
p= 0.1, r= 2.0, n= 20, t= 10000;51,1513653496;2,2327922771;15.889,1804984809;722,7682353197 
p= 0.1, r= 2.0, n= 100, t= 50;27,0592190188;39,8205259812;4.012,3939425751;503,7225184589 
p= 0.1, r= 2.0, n= 100, t= 100;24,9399156626;40,8855102802;5.373,1473691859;505,9258572461 
p= 0.1, r= 2.0, n= 100, t= 1000;27,3245043820;31,4528561149;4.216,1320185997;473,2315019394 
p= 0.1, r= 2.0, n= 100, t= 10000;23,4471894486;34,9607825932;5.086,1932587462;542,6463502737 
p= 0.1, r= 2.0, n= 1000, t= 50;157.266,6440864593;77,6144406866;83.098.304.541,6246200000;233.283,7718308413 
p= 0.1, r= 2.0, n= 1000, t= 100;207.499,3157251943;80,6826411838;63.813.858.737,6979500000;191.322,7101730158 
p= 0.1, r= 2.0, n= 1000, t= 1000;207.390,3364516869;80,8279457553;67.413.294.025,2326300000;207.729,1452723095 
p= 0.1, r= 2.0, n= 1000, t= 10000;191.162,1196528476;79,5678897303;72.523.312.694,8541600000;207.063,4838233953 
p= 0.1, r= 4.0, n= 5, t= 50;414,1064193635;8,8108968516;724.206,3868090725;1.337,8478909400 
p= 0.1, r= 4.0, n= 5, t= 100;435,0959681482;8,4674868747;679.120,6950810053;1.371,7473465472 
p= 0.1, r= 4.0, n= 5, t= 1000;447,1184582860;9,0447888395;572.614,1546741396;1.399,0731976310 
p= 0.1, r= 4.0, n= 5, t= 10000;456,2490584405;8,5370423654;670.745,0706640062;1.444,1374925508 
p= 0.1, r= 4.0, n= 20, t= 50;207,2574478357;4,1732810550;108.876,5713491136;914,1009612199 
p= 0.1, r= 4.0, n= 20, t= 100;195,8718762256;3,9856049131;150.134,6562063917;960,6964478689 
p= 0.1, r= 4.0, n= 20, t= 1000;209,7523387780;4,1987316713;142.232,6790335914;919,5645565395 
p= 0.1, r= 4.0, n= 20, t= 10000;208,4691838118;4,3190856292;131.165,4351421082;921,8677458044 
p= 0.1, r= 4.0, n= 100, t= 50;107,2268600857;9,4762575741;41.724,1422795489;684,5196571903 
p= 0.1, r= 4.0, n= 100, t= 100;94,3839728263;6,0330573942;34.996,0896746636;654,8908781168 
p= 0.1, r= 4.0, n= 100, t= 1000;107,6707106163;11,2515123469;41.422,8273478091;668,9752917127 
p= 0.1, r= 4.0, n= 100, t= 10000;111,4598537934;10,3484178936;30.750,5457325660;664,0914099340 
p= 0.1, r= 4.0, n= 1000, t= 50;130.538,9197483196;71,9353408247;41.940.670.522,3932000000;91.421,7659292515 
p= 0.1, r= 4.0, n= 1000, t= 100;117.001,8839638691;74,7670963189;22.165.159.641,2918320000;116.502,2998692823 
p= 0.1, r= 4.0, n= 1000, t= 1000;138.988,7709827247;77,6582380314;34.975.064.745,3467200000;117.378,8870128030 
p= 0.1, r= 4.0, n= 1000, t= 10000;89.343,1497319739;71,2836321584;26.685.475.124,1828160000;96.165,1733914384 
p= 0.1, r= 6.0, n= 5, t= 50;967,2344968433;13,0169911516;3.395.273,2541169226;2.017,4980489967 
p= 0.1, r= 6.0, n= 5, t= 100;868,2686013157;12,1585239324;2.758.221,6505541406;2.026,7070993889 
p= 0.1, r= 6.0, n= 5, t= 1000;975,1212838300;11,4482002128;2.518.735,0813728413;1.937,7302379936 
p= 0.1, r= 6.0, n= 5, t= 10000;979,4596539834;13,0873154980;3.467.886,7779645035;1.989,1675134782 
p= 0.1, r= 6.0, n= 20, t= 50;435,1583044811;6,1322836346;643.005,0143347181;1.207,7660083205 
p= 0.1, r= 6.0, n= 20, t= 100;433,3184889935;6,0504042515;668.935,9572884339;1.261,2224820841 
p= 0.1, r= 6.0, n= 20, t= 1000;459,8462957922;6,3290492570;597.660,5632802492;1.269,2100737115 
p= 0.1, r= 6.0, n= 20, t= 10000;400,6688267029;6,4587997045;685.103,4403664245;1.292,9869153517 
p= 0.1, r= 6.0, n= 100, t= 50;231,4079327978;5,2859424558;174.264,7460302231;897,3831534774 
