Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 1.0, r= 4.0, n= 100, t= 100;1.518,2966876675;15,2784558167;8.626.417,7487304230;2.705,8389399369 
p= 1.0, r= 4.0, n= 100, t= 1000;1.561,2918482645;16,0220563872;8.980.155,1540947480;2.793,8465233780 
p= 1.0, r= 4.0, n= 100, t= 10000;1.565,7481075156;16,3183587160;7.138.268,9562175010;2.651,2889473850 
p= 1.0, r= 4.0, n= 1000, t= 50;1.672,8621870296;50,4484067837;12.685.006,4140011110;2.249,0068052379 
p= 1.0, r= 4.0, n= 1000, t= 100;1.201,0197896079;50,5150965268;9.072.246,6788529530;2.344,9712904379 
p= 1.0, r= 4.0, n= 1000, t= 1000;1.313,9351170541;47,2442524138;8.697.310,0565006960;2.998,7869437295 
p= 1.0, r= 4.0, n= 1000, t= 10000;1.331,3266403186;54,3605214272;14.334.703,7752747960;2.418,3387307510 
p= 1.0, r= 6.0, n= 5, t= 50;10.597,8043477867;61,4009239505;398.004.460,2966260000;11.147,9279795607 
p= 1.0, r= 6.0, n= 5, t= 100;11.165,2806113505;66,2677948660;436.958.851,0475111600;12.759,5181272126 
p= 1.0, r= 6.0, n= 5, t= 1000;11.717,8756440594;61,2896538565;483.093.464,9723094000;12.477,9875833445 
p= 1.0, r= 6.0, n= 5, t= 10000;10.329,2986723829;60,1518544105;421.833.598,3271326400;11.691,6527322605 
p= 1.0, r= 6.0, n= 20, t= 50;5.267,9785404230;34,5498360887;95.200.917,7198403200;6.506,8339489006 
p= 1.0, r= 6.0, n= 20, t= 100;5.725,6425565637;34,7183215814;116.901.858,2886345700;6.926,9453734448 
p= 1.0, r= 6.0, n= 20, t= 1000;5.649,5816433489;33,1847582027;125.818.073,3848369000;6.948,2123414558 
p= 1.0, r= 6.0, n= 20, t= 10000;5.915,4486285179;34,4697317830;103.251.790,0526128400;6.303,5588271683 
p= 1.0, r= 6.0, n= 100, t= 50;3.517,9514002998;25,7442710936;40.441.869,6656580940;4.827,1999600499 
p= 1.0, r= 6.0, n= 100, t= 100;3.419,2057051457;25,5321190893;37.119.195,5840517300;4.346,5883327744 
p= 1.0, r= 6.0, n= 100, t= 1000;3.572,2952122153;22,2080550847;40.367.386,2964315500;4.783,9080289155 
p= 1.0, r= 6.0, n= 100, t= 10000;3.739,5958613371;24,6704229324;43.539.817,5113134160;4.455,5960742644 
p= 1.0, r= 6.0, n= 1000, t= 50;2.445,2558921106;39,1691790283;21.518.507,3834210970;3.531,1386012956 
p= 1.0, r= 6.0, n= 1000, t= 100;2.555,0177704251;48,7081814022;18.897.870,6385902130;3.719,3842950628 
p= 1.0, r= 6.0, n= 1000, t= 1000;2.490,6224901907;40,7278078399;21.024.608,4798330660;3.658,2012246081 
p= 1.0, r= 6.0, n= 1000, t= 10000;2.583,6940790625;44,8919765833;21.164.264,8151849620;3.334,3930799783 
